Geography,Payroll_Employees: Q3 2025,Job Vacancy: Q3 2025,Net_interprovincial_migration,Delta_Immigrants,Delta_Births,Emigrants,Returning_Emigrants,Population,Expenditure_Region,Total_Expenditure,Food_Expenditure,Food_Stores_Expenditure,Food_Restaurants_Expenditure,Shelter_Expenditure,Principal_Accommodation_Expenditure,Rent_Expenditure,Owned_Home_Expenditure,Utilities_Expenditure,Other_Accommodation_Expenditure,Household_Operations_Expenditure,Communications_Expenditure,Furnishings_Expenditure,Furniture_Expenditure,Equipment_Expenditure,Appliances_Expenditure,Clothing_Expenditure,Transportation_Expenditure,Private_Transport_Expenditure,Public_Transport_Expenditure,Healthcare_Expenditure,Direct_Healthcare_Expenditure,Personal_Care_Expenditure,Recreation_Expenditure,Rec_Equipment_Expenditure,Home_Entertainment_Expenditure,Rec_Services_Expenditure,Rec_Vehicles_Expenditure,Education_Expenditure,Reading_Expenditure,Tobacco_Alcohol_Expenditure,Gambling_Expenditure,Misc_Expenditure,Language,Immigrant_Density,Job_Growth_Potential,Net_Migration_Rate,Natural_Growth_Rate,Delta_Immigrant_Per_Capita,Total_Expenditure_Scaled,Shelter_Expenditure_Scaled,Food_Expenditure_Scaled,Transportation_Expenditure_Scaled,Healthcare_Expenditure_Scaled,Education_Expenditure_Scaled,Public_Transport_Expenditure_Scaled,Delta_Immigrant_Per_Capita_Scaled,Canadian_Opportunity_Index
"Abitibi-Témiscamingue, Quebec",75970,3335,39.0,381,1338,19.0,10.0,149441,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.0050151375542977494,0.7287463973655076,0.02609725577318139,0.8826225734570835,0.07099574231447785,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.07099574231447785,1.0
"North Shore, Nova Scotia",53415,2175,867.0,907,1136,181.0,41.0,165526,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.016980248993728353,0.6324734729629703,0.52378478305523,0.5769486364679869,0.2024035610446635,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.2024035610446635,0.9868174612745746
"Northwest, Ontario",107740,5695,-7.0,1118,2212,373.0,161.0,251871,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.010376833116762577,1.0,-0.002779200463729449,0.7301356646854937,0.15572816138840662,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.15572816138840662,0.9810154855226394
"Estrie, Quebec",143290,6240,-26.0,1535,2830,328.0,195.0,359469,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.010712541000767673,0.71812437129544,-0.007232890736057908,0.6960266392929572,0.1481669321251562,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.1481669321251562,0.9728703199089104
Prince Edward Island,70910,2435,1043.0,2843,1375,257.0,130.0,182657,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.04009307572979834,0.4393348724680569,0.5710156194397149,0.6120761865135198,0.654715041811097,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.654715041811097,0.9067775739870085
"Annapolis Valley, Nova Scotia",43635,1640,661.0,665,1083,285.0,74.0,140741,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.01524005958519537,0.5375815752654726,0.469657029579156,0.5669989555282399,0.16856446602160247,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.16856446602160247,0.8734492550214057
"Southern, Nova Scotia",45780,1675,650.0,637,730,187.0,49.0,121917,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.013914373088685015,0.5074137717748716,0.533149601778259,0.4453849750239917,0.1909833890704693,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.1909833890704693,0.8526695179656489
Northwest Territories,21910,960,-10.0,456,471,86.0,14.0,45950,Canada,108225,12046,8659,3351,24671,22355,5258,14183,2914,2316,6014,3442,3390,1547,1569,795,2739,12090,10292,1799,3087,2332,1860,5231,1443,301,2578,909,1694,195,1809,192,1732,Bilingual,0.020812414422638065,0.7262245936301762,-0.02176278563656148,0.8378672470076169,0.4017275903500092,0.6746050782990096,0.6185270425776754,0.29082240762812894,0.4112437427801314,0.5120000000000005,0.5755517826825126,0.6177966101694914,0.4017275903500092,0.8342909501962872
"Mauricie, Quebec",117655,4470,113.0,1329,2229,219.0,85.0,289722,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.011295737537716203,0.5499313509503828,0.03900290623425215,0.6937685091225382,0.16238267868145773,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.16238267868145773,0.8284631991418936
Nova Scotia,437360,15215,3226.0,10984,7935,1905.0,657.0,1093245,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.025114322297420888,0.4529272347555183,0.29508481630375627,0.5515689529794328,0.4072585107121681,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.4072585107121681,0.7866535858552974
"Halifax, Nova Scotia",239835,7880,980.0,8142,3983,1199.0,471.0,517115,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.03394833948339483,0.39442634753074246,0.18951297100258163,0.5383715421134564,0.6628037856316789,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.6628037856316789,0.7479134572219297
"Edmundston-Woodstock, New Brunswick",32415,1165,-49.0,897,621,119.0,19.0,82280,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,French,0.027672373900971773,0.48779962095679574,-0.059552746718522113,0.6101118133203695,0.4455885734735834,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.4455885734735834,0.7328582301872004
"Campbellton-Miramichi, New Brunswick",53945,1890,73.0,944,925,36.0,14.0,161758,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,Bilingual,0.01749930484752989,0.46041741190415475,0.04512914353540474,0.5495864192188331,0.21838672132460207,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.21838672132460207,0.6862482671817056
"Centre-du-Québec, Quebec",118290,3910,6.0,1097,2253,124.0,59.0,264820,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.009273818581452363,0.40043388814566494,0.0022656899025753343,0.8039423004304811,0.1424374158447516,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.1424374158447516,0.6850318278584249
"Saint John-St. Stephen, New Brunswick",73240,2280,234.0,2355,1563,174.0,58.0,190849,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.032154560349535774,0.34219109514974366,0.12261002153534993,0.727800512447013,0.5100725566066888,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.5100725566066888,0.6725764142919071
