"Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality c 1 2"
"Frequency: Quarterly"
"Table: 14-10-0398-01"
"Release date: 2025-12-16"
"Geography: Canada, Province or territory, Economic region"
""
""

"Statistics","Job vacancies 3",,,,
"Geography 4","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Number",,,,
"Canada","548,400","544,630","524,755","506,490","492,475"
"Newfoundland and Labrador","5,490","5,645","5,360","4,675","4,745"
"Avalon Peninsula, Newfoundland and Labrador","3,525","3,350","3,105","2,890","2,800"
"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador 5","955","875","985","695","945"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","1,010","1,420","1,275","1,095","1,000"
"Prince Edward Island","2,440","2,700","2,405","2,050","2,435"
"Prince Edward Island","2,440","2,700","2,405","2,050","2,435"
"Nova Scotia","14,430","14,555","14,290","14,470","15,215"
"Cape Breton, Nova Scotia","2,855","2,065","2,095","1,960","1,840"
"North Shore, Nova Scotia","2,045","2,215","2,255","2,315","2,175"
"Annapolis Valley, Nova Scotia","1,380","1,400","1,410","1,575","1,640"
"Southern, Nova Scotia","1,675","1,820","1,560","1,550","1,675"
"Halifax, Nova Scotia","6,480","7,060","6,970","7,065","7,880"
"New Brunswick","9,580","9,465","8,945","9,010","10,135"
"Campbellton-Miramichi, New Brunswick","1,785","1,930","1,610","1,475","1,890"
"Moncton-Richibucto, New Brunswick","3,165","3,015","2,880","2,850","3,075"
"Saint John-St. Stephen, New Brunswick","1,805","1,800","2,005","2,165","2,280"
"Fredericton-Oromocto, New Brunswick","1,865","1,775","1,665","1,615","1,730"
"Edmundston-Woodstock, New Brunswick","960","945","785","905","1,165"
"Quebec","124,285","129,650","120,700","113,585","111,575"
"Gaspésie-Îles-de-la-Madeleine, Quebec","1,080","1,050","1,085","890","830"
"Bas-Saint-Laurent, Quebec","2,395","2,325","2,215","1,885","2,270"
"Capitale-Nationale, Quebec","11,640","12,345","11,450","11,130","9,955"
"Chaudière-Appalaches, Quebec","5,705","5,295","5,795","5,880","5,455"
"Estrie, Quebec","8,200","8,685","7,325","6,505","6,240"
"Centre-du-Québec, Quebec","3,615","3,545","3,725","3,780","3,910"
"Montérégie, Quebec","19,100","19,385","18,430","18,355","18,050"
"Montréal, Quebec","36,010","36,605","33,595","32,995","34,435"
"Laval, Quebec","4,365","4,390","6,380","4,795","4,200"
"Lanaudière, Quebec","6,375","6,740","6,390","5,050","5,230"
"Laurentides, Quebec","7,505","11,025","7,010","6,265","5,570"
"Outaouais, Quebec","3,780","3,740","3,330","3,105","2,415"
"Abitibi-Témiscamingue, Quebec","3,755","3,525","3,800","3,140","3,335"
"Mauricie, Quebec","4,135","4,120","3,980","4,090","4,470"
"Saguenay-Lac-Saint-Jean, Quebec","3,510","3,460","2,995","2,865","2,700"
"Côte-Nord and Nord-du-Québec, Quebec 5","3,120","3,420","3,190","2,850","2,505"
"Ontario","184,625","183,145","186,000","179,600","171,810"
"Ottawa, Ontario","18,045","16,500","18,445","17,440","15,550"
"Kingston-Pembroke, Ontario","6,000","5,445","6,935","4,775","4,580"
"Muskoka-Kawarthas, Ontario","5,055","4,700","4,835","5,080","5,000"
"Toronto, Ontario","90,740","90,730","87,780","86,320","82,685"
"Kitchener-Waterloo-Barrie, Ontario","16,140","16,470","17,145","16,050","16,145"
"Hamilton-Niagara Peninsula, Ontario","16,505","16,385","16,550","16,785","16,915"
"London, Ontario","9,415","9,615","10,835","9,765","8,675"
