"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by economic region, 2021 boundaries","17100150",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015001",1;2;3;4;6;7,"CURRENT - a cube available to the public and that is current","Annual","2001-01-01","2025-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Gender",,""
"3","Age group",5,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","7","1","",,
"1","Nova Scotia","[12]","9","1","",,
"1","New Brunswick","[13]","15","1","",,
"1","Quebec","[24]","21","1","",,
"1","Ontario","[35]","39","1","",,
"1","Manitoba","[46]","51","1","",,
"1","Saskatchewan","[47]","60","1","",,
"1","Alberta","[48]","67","1","",,
"1","British Columbia","[59]","76","1","",,
"1","Yukon","[60]","85","1","",,
"1","Northwest Territories","[61]","87","1","",,
"1","Nunavut","[62]","89","1","",,
"1","Avalon Peninsula, Newfoundland and Labrador","[1010]","3","2","",,
"1","South Coast-Burin Peninsula, Newfoundland and Labrador","[1020]","4","2","",,
"1","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","[1030]","5","2","",,
"1","Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","[1040]","6","2","",,
"1","Prince Edward Island, Prince Edward Island","[1110]","8","7","",,
"1","Cape Breton, Nova Scotia","[1210]","10","9","",,
"1","North Shore, Nova Scotia","[1220]","11","9","",,
"1","Annapolis Valley, Nova Scotia","[1230]","12","9","",,
"1","Southern, Nova Scotia","[1240]","13","9","",,
"1","Halifax, Nova Scotia","[1250]","14","9","",,
"1","Campbellton-Miramichi, New Brunswick","[1310]","16","15","",,
"1","Moncton-Richibucto, New Brunswick","[1320]","17","15","",,
"1","Saint John-St. Stephen, New Brunswick","[1330]","18","15","",,
"1","Fredericton-Oromocto, New Brunswick","[1340]","19","15","",,
"1","Edmundston-Woodstock, New Brunswick","[1350]","20","15","",,
"1","Gaspésie-Îles-de-la-Madeleine, Quebec","[2410]","22","21","",,
"1","Bas-Saint-Laurent, Quebec","[2415]","23","21","",,
"1","Capitale-Nationale, Quebec","[2420]","24","21","",,
"1","Chaudière-Appalaches, Quebec","[2425]","25","21","",,
"1","Estrie, Quebec","[2430]","26","21","",,
"1","Centre-du-Québec, Quebec","[2433]","27","21","",,
"1","Montérégie, Quebec","[2435]","28","21","",,
"1","Montréal, Quebec","[2440]","29","21","",,
"1","Laval, Quebec","[2445]","30","21","",,
"1","Lanaudière, Quebec","[2450]","31","21","",,
"1","Laurentides, Quebec","[2455]","32","21","",,
"1","Outaouais, Quebec","[2460]","33","21","",,
"1","Abitibi-Témiscamingue, Quebec","[2465]","34","21","",,
"1","Mauricie, Quebec","[2470]","35","21","",,
"1","Saguenay-Lac-Saint-Jean, Quebec","[2475]","36","21","",,
"1","Côte-Nord, Quebec","[2480]","37","21","",,
"1","Nord-du-Québec, Quebec","[2490]","38","21","",,
"1","Ottawa, Ontario","[3510]","40","39","",,
"1","Kingston-Pembroke, Ontario","[3515]","41","39","",,
"1","Muskoka-Kawarthas, Ontario","[3520]","42","39","",,
"1","Toronto, Ontario","[3530]","43","39","",,
"1","Kitchener-Waterloo-Barrie, Ontario","[3540]","44","39","",,
"1","Hamilton-Niagara Peninsula, Ontario","[3550]","45","39","",,
"1","London, Ontario","[3560]","46","39","",,
"1","Windsor-Sarnia, Ontario","[3570]","47","39","",,
"1","Stratford-Bruce Peninsula, Ontario","[3580]","48","39","",,
"1","Northeast, Ontario","[3590]","49","39","",,
"1","Northwest, Ontario","[3595]","50","39","",,
"1","Southeast, Manitoba","[4610]","52","51","",,
"1","South Central, Manitoba","[4620]","53","51","",,
"1","Southwest, Manitoba","[4630]","54","51","",,
"1","North Central, Manitoba","[4640]","55","51","",,
"1","Winnipeg, Manitoba","[4650]","56","51","",,
"1","Interlake, Manitoba","[4660]","57","51","",,
"1","Parklands, Manitoba","[4670]","58","51","",,
"1","North, Manitoba","[4680]","59","51","",,
"1","Regina-Moose Mountain, Saskatchewan","[4710]","61","60","",,
"1","Swift Current-Moose Jaw, Saskatchewan","[4720]","62","60","",,
"1","Saskatoon-Biggar, Saskatchewan","[4730]","63","60","",,
"1","Yorkton-Melville, Saskatchewan","[4740]","64","60","",,
"1","Prince Albert, Saskatchewan","[4750]","65","60","",,
"1","Northern, Saskatchewan","[4760]","66","60","",,
"1","Lethbridge-Medicine Hat, Alberta","[4810]","68","67","",,
"1","Camrose-Drumheller, Alberta","[4820]","69","67","",,
"1","Calgary, Alberta","[4830]","70","67","",,
"1","Banff-Jasper-Rocky Mountain House, Alberta","[4840]","71","67","",,
"1","Red Deer, Alberta","[4850]","72","67","",,
"1","Edmonton, Alberta","[4860]","73","67","",,
"1","Athabasca-Grande Prairie-Peace River, Alberta","[4870]","74","67","",,
"1","Wood Buffalo-Cold Lake, Alberta","[4880]","75","67","",,
"1","Vancouver Island and Coast, British Columbia","[5910]","77","76","",,
"1","Lower Mainland-Southwest, British Columbia","[5920]","78","76","",,
"1","Thompson-Okanagan, British Columbia","[5930]","79","76","",,
"1","Kootenay, British Columbia","[5940]","80","76","",,
"1","Cariboo, British Columbia","[5950]","81","76","",,
"1","North Coast, British Columbia","[5960]","82","76","",,
"1","Nechako, British Columbia","[5970]","83","76","",,
"1","Northeast, British Columbia","[5980]","84","76","",,
"1","Yukon, Yukon","[6010]","86","85","",,
"1","Northwest Territories, Northwest Territories","[6110]","88","87","",,
"1","Nunavut, Nunavut","[6210]","90","89","",,
"1","Canada","[1124]","1","","",,
"2","Men+","","2","1","",,
"2","Women+","","3","1","",,
"2","Total - gender","","1","","",,
"3","0 to 4 years","","2","1","",,
"3","5 to 9 years","","8","1","",,
"3","10 to 14 years","","14","1","",,
"3","15 to 19 years","","20","1","",,
"3","20 to 24 years","","26","1","",,
"3","25 to 29 years","","32","1","",,
"3","30 to 34 years","","38","1","",,
"3","35 to 39 years","","44","1","",,
"3","40 to 44 years","","50","1","",,
"3","45 to 49 years","","56","1","",,
"3","50 to 54 years","","62","1","",,
"3","55 to 59 years","","68","1","",,
"3","60 to 64 years","","74","1","",,
"3","65 to 69 years","","80","1","",,
"3","70 to 74 years","","86","1","",,
"3","75 to 79 years","","92","1","",,
"3","80 to 84 years","","98","1","",,
"3","85 to 89 years","","104","1","",,
"3","90 years and older","","110","1","",,
"3","0 years","","3","2","",,
"3","1 year","","4","2","",,
"3","2 years","","5","2","",,
"3","3 years","","6","2","",,
"3","4 years","","7","2","",,
"3","5 years","","9","8","",,
"3","6 years","","10","8","",,
"3","7 years","","11","8","",,
"3","8 years","","12","8","",,
"3","9 years","","13","8","",,
"3","10 years","","15","14","",,
"3","11 years","","16","14","",,
"3","12 years","","17","14","",,
"3","13 years","","18","14","",,
"3","14 years","","19","14","",,
"3","15 years","","21","20","",,
"3","16 years","","22","20","",,
"3","17 years","","23","20","",,
"3","18 years","","24","20","",,
"3","19 years","","25","20","",,
"3","20 years","","27","26","",,
"3","21 years","","28","26","",,
"3","22 years","","29","26","",,
"3","23 years","","30","26","",,
"3","24 years","","31","26","",,
"3","25 years","","33","32","",,
"3","26 years","","34","32","",,
"3","27 years","","35","32","",,
"3","28 years","","36","32","",,
"3","29 years","","37","32","",,
"3","30 years","","39","38","",,
"3","31 years","","40","38","",,
"3","32 years","","41","38","",,
"3","33 years","","42","38","",,
"3","34 years","","43","38","",,
"3","35 years","","45","44","",,
"3","36 years","","46","44","",,
"3","37 years","","47","44","",,
"3","38 years","","48","44","",,
"3","39 years","","49","44","",,
"3","40 years","","51","50","",,
"3","41 years","","52","50","",,
"3","42 years","","53","50","",,
"3","43 years","","54","50","",,
"3","44 years","","55","50","",,
"3","45 years","","57","56","",,
"3","46 years","","58","56","",,
"3","47 years","","59","56","",,
"3","48 years","","60","56","",,
"3","49 years","","61","56","",,
"3","50 years","","63","62","",,
"3","51 years","","64","62","",,
"3","52 years","","65","62","",,
"3","53 years","","66","62","",,
"3","54 years","","67","62","",,
"3","55 years","","69","68","",,
"3","56 years","","70","68","",,
"3","57 years","","71","68","",,
"3","58 years","","72","68","",,
"3","59 years","","73","68","",,
"3","60 years","","75","74","",,
"3","61 years","","76","74","",,
"3","62 years","","77","74","",,
"3","63 years","","78","74","",,
"3","64 years","","79","74","",,
"3","65 years","","81","80","",,
"3","66 years","","82","80","",,
