"Components of population change by economic region, 2021 boundaries 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0151-01"
"Release date: 2026-01-14"
"Geography: Canada, Province or territory, Economic region"
""
""

"Components of population growth","Immigrants 7","Emigrants 8 9 10","Returning emigrants 9 10 11","Net temporary emigration 9 10 12"
"Gender","Total - gender","Total - gender","Total - gender","Total - gender"
"Age group 6","All ages","All ages","All ages","All ages"
"Geography","2024 / 2025","2024 / 2025","2024 / 2025","2024 / 2025"
,"Persons",,,
"Canada","435,421","120,016","54,644",".."
"Newfoundland and Labrador","5,473","266","125",".."
"Avalon Peninsula, Newfoundland and Labrador","3,937","212","103",".."
"South Coast-Burin Peninsula, Newfoundland and Labrador","73","1","0",".."
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","977","26","13",".."
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","486","27","9",".."
"Prince Edward Island","2,843","257","130",".."
"Prince Edward Island, Prince Edward Island","2,843","257","130",".."
"Nova Scotia","10,984","1,905","657",".."
"Cape Breton, Nova Scotia","633","53","22",".."
"North Shore, Nova Scotia","907","181","41",".."
"Annapolis Valley, Nova Scotia","665","285","74",".."
"Southern, Nova Scotia","637","187","49",".."
"Halifax, Nova Scotia","8,142","1,199","471",".."
"New Brunswick","12,532","912","347",".."
"Campbellton-Miramichi, New Brunswick","944","36","14",".."
"Moncton-Richibucto, New Brunswick","6,325","271","119",".."
"Saint John-St. Stephen, New Brunswick","2,355","174","58",".."
"Fredericton-Oromocto, New Brunswick","2,011","312","137",".."
"Edmundston-Woodstock, New Brunswick","897","119","19",".."
"Quebec","57,629","15,828","7,616",".."
"Gaspésie-Îles-de-la-Madeleine, Quebec","89","24","16",".."
"Bas-Saint-Laurent, Quebec","500","101","34",".."
"Capitale-Nationale, Quebec","7,357","933","482",".."
"Chaudière-Appalaches, Quebec","2,082","220","128",".."
"Estrie, Quebec","1,535","328","195",".."
"Centre-du-Québec, Quebec","1,097","124","59",".."
"Montérégie, Quebec","8,111","2,476","1,111",".."
"Montréal, Quebec","25,837","8,874","4,221",".."
"Laval, Quebec","2,994","738","468",".."
"Lanaudière, Quebec","1,329","330","164",".."
"Laurentides, Quebec","1,445","818","304",".."
"Outaouais, Quebec","2,647","512","295",".."
"Abitibi-Témiscamingue, Quebec","381","19","10",".."
"Mauricie, Quebec","1,329","219","85",".."
"Saguenay-Lac-Saint-Jean, Quebec","569","68","31",".."
"Côte-Nord, Quebec","237","39","9",".."
"Nord-du-Québec, Quebec","90","5","4",".."
"Ontario","190,576","55,979","24,973",".."
"Ottawa, Ontario","25,171","5,808","2,874",".."
"Kingston-Pembroke, Ontario","1,705","1,358","583",".."
"Muskoka-Kawarthas, Ontario","927","675","315",".."
"Toronto, Ontario","117,381","31,757","14,266",".."
"Kitchener-Waterloo-Barrie, Ontario","14,857","5,068","1,858",".."
"Hamilton-Niagara Peninsula, Ontario","12,446","4,674","2,092",".."
"London, Ontario","7,642","2,133","1,065",".."
"Windsor-Sarnia, Ontario","4,735","2,910","1,086",".."
"Stratford-Bruce Peninsula, Ontario","729","496","348",".."
"Northeast, Ontario","3,865","727","325",".."
"Northwest, Ontario","1,118","373","161",".."
"Manitoba","21,433","3,095","1,626",".."
"Southeast, Manitoba","855","282","214",".."
"South Central, Manitoba","1,134","163","151",".."
"Southwest, Manitoba","2,164","204","102",".."
"North Central, Manitoba","337","174","47",".."
"Winnipeg, Manitoba","15,910","1,961","985",".."
"Interlake, Manitoba","495","113","46",".."
"Parklands, Manitoba","218","48","43",".."
"North, Manitoba","320","150","38",".."
"Saskatchewan","18,199","2,022","1,254",".."
"Regina-Moose Mountain, Saskatchewan","6,932","527","340",".."
"Swift Current-Moose Jaw, Saskatchewan","1,268","205","88",".."
"Saskatoon-Biggar, Saskatchewan","7,350","1,020","663",".."
"Yorkton-Melville, Saskatchewan","671","86","47",".."
"Prince Albert, Saskatchewan","1,893","179","110",".."
"Northern, Saskatchewan","85","5","6",".."
"Alberta","58,194","14,610","8,095",".."
"Lethbridge-Medicine Hat, Alberta","1,964","851","505",".."
"Camrose-Drumheller, Alberta","690","500","240",".."
"Calgary, Alberta","28,843","8,126","4,538",".."
"Banff-Jasper-Rocky Mountain House, Alberta","649","337","150",".."
"Red Deer, Alberta","1,106","369","215",".."
"Edmonton, Alberta","21,809","3,732","2,018",".."
"Athabasca-Grande Prairie-Peace River, Alberta","1,764","359","311",".."
"Wood Buffalo-Cold Lake, Alberta","1,369","336","118",".."
"British Columbia","56,203","25,023","9,777",".."
"Vancouver Island and Coast, British Columbia","4,735","2,646","1,159",".."
"Lower Mainland-Southwest, British Columbia","45,426","19,288","7,547",".."
"Thompson-Okanagan, British Columbia","3,605","1,998","708",".."
"Kootenay, British Columbia","721","526","167",".."
"Cariboo, British Columbia","797","294","100",".."
"North Coast, British Columbia","348","114","41",".."
"Nechako, British Columbia","94","54","24",".."
"Northeast, British Columbia","477","103","31",".."
"Yukon","826","33","30",".."
"Yukon, Yukon","826","33","30",".."
"Northwest Territories","456","86","14",".."
"Northwest Territories, Northwest Territories","456","86","14",".."
"Nunavut","73","0","0",".."
"Nunavut, Nunavut","73","0","0",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"An economic region (ER) is a grouping of complete census divisions (CDs), with one exception in Ontario, created as a standard geographic unit for analysis of regional economic activity. Within the province of Quebec, economic regions (régions administratives) are designated by law. In all other provinces and territories, economic regions (ERs) are created by agreement between Statistics Canada and the province/territory concerned. Prince Edward Island and the three territories each consist of one ER. In Ontario, there is one exception where the ER boundary does not respect census division boundaries: the census division of Halton is split between the ER of Hamilton–Niagara Peninsula and the ER of Toronto (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"The population growth, which is used to calculate population estimates of economics regions (table 17100150), is comprised of the components of population growth (table 17100151)."
4,"This table replaces table 17100138."
5,"Period from July 1 to June 30."
6,"Age on July 1."
7,"The estimates for immigrants are final up to 2023/2024 and preliminary for 2024/2025."
8,"The estimates for emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
9,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
10,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
11,"The estimates for returning emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
12,"The estimates for net temporary emigration are final up to 2015/2016."



"How to cite: Statistics Canada. Table 17-10-0151-01  Components of population change by economic region, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015101
