"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality","14100398",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410039801",1;7,"CURRENT - a cube available to the public and that is current","Quarterly","2015-01-01","2025-07-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",2,""
"2","Statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","6","1","",,
"1","Nova Scotia","[12]","8","1","",,
"1","New Brunswick","[13]","14","1","",,
"1","Quebec","[24]","20","1","",,
"1","Ontario","[35]","37","1","",,
"1","Manitoba","[46]","49","1","",,
"1","Saskatchewan","[47]","56","1","",,
"1","Alberta","[48]","62","1","",,
"1","British Columbia","[59]","70","1","",,
"1","Yukon","[60]","78","1","",,
"1","Northwest Territories","[61]","80","1","",,
"1","Nunavut","[62]","82","1","",,
"1","Avalon Peninsula, Newfoundland and Labrador","[1010]","3","2","",,
"1","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","4","2","",6,
"1","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","[1030]","5","2","",,
"1","Prince Edward Island","[1110]","7","6","",,
"1","Cape Breton, Nova Scotia","[1210]","9","8","",,
"1","North Shore, Nova Scotia","[1220]","10","8","",,
"1","Annapolis Valley, Nova Scotia","[1230]","11","8","",,
"1","Southern, Nova Scotia","[1240]","12","8","",,
"1","Halifax, Nova Scotia","[1250]","13","8","",,
"1","Campbellton-Miramichi, New Brunswick","[1310]","15","14","",,
"1","Moncton-Richibucto, New Brunswick","[1320]","16","14","",,
"1","Saint John-St. Stephen, New Brunswick","[1330]","17","14","",,
"1","Fredericton-Oromocto, New Brunswick","[1340]","18","14","",,
"1","Edmundston-Woodstock, New Brunswick","[1350]","19","14","",,
"1","Gaspésie-Îles-de-la-Madeleine, Quebec","[2410]","21","20","",,
"1","Bas-Saint-Laurent, Quebec","[2415]","22","20","",,
"1","Capitale-Nationale, Quebec","[2420]","23","20","",,
"1","Chaudière-Appalaches, Quebec","[2425]","24","20","",,
"1","Estrie, Quebec","[2430]","25","20","",,
"1","Montérégie, Quebec","[2435]","27","20","",,
"1","Montréal, Quebec","[2440]","28","20","",,
"1","Laval, Quebec","[2445]","29","20","",,
"1","Lanaudière, Quebec","[2450]","30","20","",,
"1","Laurentides, Quebec","[2455]","31","20","",,
"1","Outaouais, Quebec","[2460]","32","20","",,
"1","Abitibi-Témiscamingue, Quebec","[2465]","33","20","",,
"1","Mauricie, Quebec","[2470]","34","20","",,
"1","Saguenay-Lac-Saint-Jean, Quebec","[2475]","35","20","",,
"1","Côte-Nord and Nord-du-Québec, Quebec","","36","20","",6,
"1","Centre-du-Québec, Quebec","[2433]","26","20","",,
"1","Ottawa, Ontario","[3510]","38","37","",,
"1","Kingston-Pembroke, Ontario","[3515]","39","37","",,
"1","Muskoka-Kawarthas, Ontario","[3520]","40","37","",,
"1","Toronto, Ontario","[3530]","41","37","",,
"1","Kitchener-Waterloo-Barrie, Ontario","[3540]","42","37","",,
"1","Hamilton-Niagara Peninsula, Ontario","[3550]","43","37","",,
"1","London, Ontario","[3560]","44","37","",,
"1","Windsor-Sarnia, Ontario","[3570]","45","37","",,
"1","Stratford-Bruce Peninsula, Ontario","[3580]","46","37","",,
"1","Northeast, Ontario","[3590]","47","37","",,
"1","Northwest, Ontario","[3595]","48","37","",,
"1","Southeast, Manitoba","[4610]","50","49","",,
"1","South Central and North Central, Manitoba","","51","49","",6,
"1","Southwest, Manitoba","[4630]","52","49","",,
"1","Winnipeg, Manitoba","[4650]","53","49","",,
"1","Interlake, Manitoba","[4660]","54","49","",,
"1","Parklands and North, Manitoba","","55","49","",6,
"1","Regina-Moose Mountain, Saskatchewan","[4710]","57","56","",,
"1","Swift Current-Moose Jaw, Saskatchewan","[4720]","58","56","",,
"1","Saskatoon-Biggar, Saskatchewan","[4730]","59","56","",,
"1","Yorkton-Melville, Saskatchewan","[4740]","60","56","",,
"1","Prince Albert and Northern, Saskatchewan","","61","56","",6,
"1","Lethbridge-Medicine Hat, Alberta","[4810]","63","62","",,
"1","Camrose-Drumheller, Alberta","[4820]","64","62","",,
"1","Calgary, Alberta","[4830]","65","62","",,
