"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2021A000011124","Job vacancies","Number","223","units","0","v1374464762","1.1","446380","E","","","0"
"2015-01","Canada","2021A000011124","Payroll employees","Number","223","units","0","v1374464763","1.2","15087965","D","","","0"
"2015-01","Canada","2021A000011124","Job vacancy rate","Percent","239","units","0","v1374464764","1.3","2.9","E","","","1"
"2015-01","Newfoundland and Labrador","2021A000210","Job vacancies","Number","223","units","0","v1374464765","2.1","","F","","","0"
"2015-01","Newfoundland and Labrador","2021A000210","Payroll employees","Number","223","units","0","v1374464766","2.2","203415","E","","","0"
"2015-01","Newfoundland and Labrador","2021A000210","Job vacancy rate","Percent","239","units","0","v1374464767","2.3","","F","","","1"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2021S05001010","Job vacancies","Number","223","units","0","v1374464768","3.1","","F","","","0"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2021S05001010","Payroll employees","Number","223","units","0","v1374464769","3.2","","F","","","0"
"2015-01","Avalon Peninsula, Newfoundland and Labrador","2021S05001010","Job vacancy rate","Percent","239","units","0","v1374464770","3.3","","F","","","1"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Job vacancies","Number","223","units","0","v1374464771","4.1","","F","","","0"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Payroll employees","Number","223","units","0","v1374464772","4.2","49165","E","","","0"
"2015-01","South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","","Job vacancy rate","Percent","239","units","0","v1374464773","4.3","","F","","","1"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2021S05001030","Job vacancies","Number","223","units","0","v1374464774","5.1","","F","","","0"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2021S05001030","Payroll employees","Number","223","units","0","v1374464775","5.2","","F","","","0"
"2015-01","West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","2021S05001030","Job vacancy rate","Percent","239","units","0","v1374464776","5.3","","F","","","1"
"2015-01","Prince Edward Island","2021A000211","Job vacancies","Number","223","units","0","v1374464777","6.1","","F","","","0"
"2015-01","Prince Edward Island","2021A000211","Payroll employees","Number","223","units","0","v1374464778","6.2","58560","E","","","0"
"2015-01","Prince Edward Island","2021A000211","Job vacancy rate","Percent","239","units","0","v1374464779","6.3","","F","","","1"
