"Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality c 1 2"
"Frequency: Quarterly"
"Table: 14-10-0398-01"
"Release date: 2025-12-16"
"Geography: Canada, Province or territory, Economic region"
""
""

"Statistics","Payroll employees 3",,,,
"Geography 4","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Number",,,,
"Canada","17,301,910","17,328,270","17,374,115","17,331,015","17,363,945"
"Newfoundland and Labrador","199,160","200,815","200,730","201,070","201,860"
"Avalon Peninsula, Newfoundland and Labrador","126,150","124,230","125,460","124,105","128,620"
"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador 5","33,915","33,410","34,320","34,035","35,595"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","39,095","43,175","40,955","42,930","37,650"
"Prince Edward Island","70,835","70,875","70,705","70,700","70,910"
"Prince Edward Island","70,835","70,875","70,705","70,700","70,910"
"Nova Scotia","430,425","431,945","433,705","433,855","437,360"
"Cape Breton, Nova Scotia","58,670","55,955","56,985","56,515","54,695"
"North Shore, Nova Scotia","52,280","52,960","54,660","53,130","53,415"
"Annapolis Valley, Nova Scotia","41,675","42,415","43,695","43,150","43,635"
"Southern, Nova Scotia","49,210","48,015","46,135","45,555","45,780"
"Halifax, Nova Scotia","228,590","232,600","232,230","235,505","239,835"
"New Brunswick","328,005","329,855","332,130","332,140","333,590"
"Campbellton-Miramichi, New Brunswick","52,200","53,355","52,185","51,445","53,945"
"Moncton-Richibucto, New Brunswick","114,700","119,210","117,690","113,225","113,435"
"Saint John-St. Stephen, New Brunswick","66,895","66,965","70,360","72,725","73,240"
"Fredericton-Oromocto, New Brunswick","61,905","58,885","61,275","62,815","60,555"
"Edmundston-Woodstock, New Brunswick","32,310","31,435","30,615","31,935","32,415"
"Quebec","3,874,445","3,893,090","3,902,160","3,883,395","3,879,335"
"Gaspésie-Îles-de-la-Madeleine, Quebec","31,045","33,835","32,795","31,485","33,145"
"Bas-Saint-Laurent, Quebec","75,035","80,885","77,345","79,650","84,110"
"Capitale-Nationale, Quebec","367,940","388,210","396,000","371,870","361,935"
"Chaudière-Appalaches, Quebec","203,245","208,140","209,840","206,090","203,410"
"Estrie, Quebec","150,320","156,285","146,660","138,075","143,290"
"Centre-du-Québec, Quebec","118,500","118,815","120,195","119,390","118,290"
"Montérégie, Quebec","593,890","589,800","582,985","582,910","592,825"
"Montréal, Quebec","1,249,080","1,234,695","1,271,210","1,276,795","1,268,035"
"Laval, Quebec","158,830","157,795","155,875","161,530","162,490"
"Lanaudière, Quebec","185,980","182,375","183,245","175,465","174,355"
"Laurentides, Quebec","229,505","235,695","231,955","237,545","244,690"
"Outaouais, Quebec","121,720","118,735","119,395","120,220","115,465"
"Abitibi-Témiscamingue, Quebec","80,775","80,260","79,010","77,590","75,970"
"Mauricie, Quebec","113,685","112,470","109,390","115,185","117,655"
"Saguenay-Lac-Saint-Jean, Quebec","127,220","127,410","116,980","120,405","113,245"
"Côte-Nord and Nord-du-Québec, Quebec 5","67,675","67,690","69,280","69,185","70,425"
"Ontario","6,727,120","6,713,255","6,730,925","6,707,970","6,726,715"
"Ottawa, Ontario","615,675","633,660","665,890","656,095","650,780"
"Kingston-Pembroke, Ontario","184,660","177,320","188,085","179,760","182,605"
"Muskoka-Kawarthas, Ontario","146,440","143,780","140,410","141,345","139,855"
"Toronto, Ontario","3,441,895","3,413,800","3,425,455","3,428,940","3,442,170"
"Kitchener-Waterloo-Barrie, Ontario","639,825","640,855","632,550","625,775","627,005"
"Hamilton-Niagara Peninsula, Ontario","629,050","638,460","609,420","623,605","623,455"
"London, Ontario","329,585","331,115","336,655","317,470","323,710"
"Windsor-Sarnia, Ontario","282,725","277,035","270,570","272,860","269,070"
"Stratford-Bruce Peninsula, Ontario","124,300","125,550","126,890","128,190","128,270"
"Northeast, Ontario","231,365","231,705","231,590","230,050","232,055"
"Northwest, Ontario","101,605","99,980","103,410","103,885","107,740"
"Manitoba","614,660","614,670","615,130","613,275","613,425"
"Southeast, Manitoba","49,950","50,095","49,445","49,325","50,185"
"South Central and North Central, Manitoba 5","53,290","54,540","58,925","61,765","56,730"
"Southwest, Manitoba","51,145","51,230","53,370","54,120","56,670"
"Winnipeg, Manitoba","398,210","393,690","387,375","382,545","384,330"
"Interlake, Manitoba","28,100","27,660","26,920","28,605","28,105"
"Parklands and North, Manitoba 5","33,965","37,460","39,095","36,915","37,400"
"Saskatchewan","493,760","499,365","500,990","502,935","502,560"
"Regina-Moose Mountain, Saskatchewan","159,095","162,515","160,290","162,590","163,000"
"Swift Current-Moose Jaw, Saskatchewan","34,585","35,445","35,850","33,570","35,420"
"Saskatoon-Biggar, Saskatchewan","193,605","189,880","191,870","191,725","191,240"
"Yorkton-Melville, Saskatchewan","31,605","32,950","33,600","34,265","34,735"
"Prince Albert and Northern, Saskatchewan 5","74,870","78,575","79,380","80,780","78,165"
"Alberta","2,080,225","2,089,340","2,098,685","2,097,960","2,111,555"
"Lethbridge-Medicine Hat, Alberta","127,590","129,745","130,300","131,285","128,300"
"Camrose-Drumheller, Alberta","72,485","71,280","72,920","71,330","74,430"
"Calgary, Alberta","823,410","821,830","826,590","831,685","842,815"
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta 5","166,350","173,795","164,650","165,735","171,680"
"Red Deer, Alberta","92,040","88,565","91,025","86,250","88,015"
"Edmonton, Alberta","715,090","720,740","732,480","731,515","729,895"
"Wood Buffalo-Cold Lake, Alberta","83,255","83,385","80,720","80,165","76,420"
"British Columbia","2,423,860","2,425,630","2,429,705","2,428,865","2,427,445"
"Vancouver Island and Coast, British Columbia","345,995","345,215","344,710","337,920","335,550"
"Lower Mainland-Southwest, British Columbia","1,591,270","1,593,730","1,587,365","1,619,285","1,602,305"
"Thompson-Okanagan, British Columbia","261,590","264,245","273,525","254,300","268,540"
"Kootenay, British Columbia","76,465","75,680","71,555","66,815","74,215"
"Cariboo, British Columbia","69,160","67,320","69,515","68,630","66,085"
"North Coast and Nechako, British Columbia 5","42,635","43,370","44,750","44,685","43,245"
"Northeast, British Columbia","36,750","36,065","38,285","37,230","37,500"
"Yukon","19,980","19,960","19,950","19,815","20,040"
"Yukon","19,980","19,960","19,950","19,815","20,040"
"Northwest Territories","22,230","22,495","22,155","21,810","21,910"
"Northwest Territories","22,230","22,495","22,155","21,810","21,910"
"Nunavut","17,205","16,970","17,140","17,225","17,240"
"Nunavut","17,205","16,970","17,140","17,225","17,240"

Symbol legend:
A, data quality: excellent
B, data quality: very good


