"Components of population change by economic region, 2021 boundaries 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0151-01"
"Release date: 2026-01-14"
"Geography: Canada, Province or territory, Economic region"
""
""

"Components of population growth","Births 7","Emigrants 8 9 10","Returning emigrants 9 10 11","Net temporary emigration 9 10 12"
"Gender","Total - gender","Total - gender","Total - gender","Total - gender"
"Age group 6","All ages","All ages","All ages","All ages"
"Geography","2024 / 2025","2024 / 2025","2024 / 2025","2024 / 2025"
,"Persons",,,
"Canada","368,928","120,016","54,644",".."
"Newfoundland and Labrador","3,418","266","125",".."
"Avalon Peninsula, Newfoundland and Labrador","2,032","212","103",".."
"South Coast-Burin Peninsula, Newfoundland and Labrador","149","1","0",".."
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","698","26","13",".."
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","539","27","9",".."
"Prince Edward Island","1,375","257","130",".."
"Prince Edward Island, Prince Edward Island","1,375","257","130",".."
"Nova Scotia","7,935","1,905","657",".."
"Cape Breton, Nova Scotia","1,003","53","22",".."
"North Shore, Nova Scotia","1,136","181","41",".."
"Annapolis Valley, Nova Scotia","1,083","285","74",".."
"Southern, Nova Scotia","730","187","49",".."
"Halifax, Nova Scotia","3,983","1,199","471",".."
"New Brunswick","6,618","912","347",".."
"Campbellton-Miramichi, New Brunswick","925","36","14",".."
"Moncton-Richibucto, New Brunswick","2,113","271","119",".."
"Saint John-St. Stephen, New Brunswick","1,563","174","58",".."
"Fredericton-Oromocto, New Brunswick","1,396","312","137",".."
"Edmundston-Woodstock, New Brunswick","621","119","19",".."
"Quebec","77,171","15,828","7,616",".."
"Gaspésie-Îles-de-la-Madeleine, Quebec","583","24","16",".."
"Bas-Saint-Laurent, Quebec","1,383","101","34",".."
"Capitale-Nationale, Quebec","7,271","933","482",".."
"Chaudière-Appalaches, Quebec","3,882","220","128",".."
"Estrie, Quebec","2,830","328","195",".."
"Centre-du-Québec, Quebec","2,253","124","59",".."
"Montérégie, Quebec","14,478","2,476","1,111",".."
"Montréal, Quebec","19,425","8,874","4,221",".."
"Laval, Quebec","3,914","738","468",".."
"Lanaudière, Quebec","4,633","330","164",".."
"Laurentides, Quebec","5,575","818","304",".."
"Outaouais, Quebec","3,795","512","295",".."
"Abitibi-Témiscamingue, Quebec","1,338","19","10",".."
"Mauricie, Quebec","2,229","219","85",".."
"Saguenay-Lac-Saint-Jean, Quebec","2,115","68","31",".."
"Côte-Nord, Quebec","719","39","9",".."
"Nord-du-Québec, Quebec","748","5","4",".."
"Ontario","144,954","55,979","24,973",".."
"Ottawa, Ontario","14,336","5,808","2,874",".."
"Kingston-Pembroke, Ontario","4,145","1,358","583",".."
"Muskoka-Kawarthas, Ontario","3,065","675","315",".."
"Toronto, Ontario","67,330","31,757","14,266",".."
"Kitchener-Waterloo-Barrie, Ontario","15,793","5,068","1,858",".."
"Hamilton-Niagara Peninsula, Ontario","15,604","4,674","2,092",".."
"London, Ontario","8,064","2,133","1,065",".."
"Windsor-Sarnia, Ontario","6,243","2,910","1,086",".."
"Stratford-Bruce Peninsula, Ontario","3,508","496","348",".."
"Northeast, Ontario","4,654","727","325",".."
"Northwest, Ontario","2,212","373","161",".."
"Manitoba","15,820","3,095","1,626",".."
"Southeast, Manitoba","1,816","282","214",".."
"South Central, Manitoba","1,055","163","151",".."
"Southwest, Manitoba","1,378","204","102",".."
"North Central, Manitoba","671","174","47",".."
"Winnipeg, Manitoba","7,731","1,961","985",".."
"Interlake, Manitoba","1,012","113","46",".."
"Parklands, Manitoba","461","48","43",".."
"North, Manitoba","1,696","150","38",".."
"Saskatchewan","13,147","2,022","1,254",".."
"Regina-Moose Mountain, Saskatchewan","3,472","527","340",".."
"Swift Current-Moose Jaw, Saskatchewan","1,026","205","88",".."
"Saskatoon-Biggar, Saskatchewan","4,304","1,020","663",".."
"Yorkton-Melville, Saskatchewan","881","86","47",".."
"Prince Albert, Saskatchewan","2,698","179","110",".."
"Northern, Saskatchewan","766","5","6",".."
"Alberta","52,446","14,610","8,095",".."
"Lethbridge-Medicine Hat, Alberta","3,779","851","505",".."
"Camrose-Drumheller, Alberta","2,190","500","240",".."
"Calgary, Alberta","19,753","8,126","4,538",".."
"Banff-Jasper-Rocky Mountain House, Alberta","871","337","150",".."
"Red Deer, Alberta","2,362","369","215",".."
"Edmonton, Alberta","17,837","3,732","2,018",".."
"Athabasca-Grande Prairie-Peace River, Alberta","3,731","359","311",".."
"Wood Buffalo-Cold Lake, Alberta","1,923","336","118",".."
"British Columbia","44,371","25,023","9,777",".."
"Vancouver Island and Coast, British Columbia","6,123","2,646","1,159",".."
"Lower Mainland-Southwest, British Columbia","28,921","19,288","7,547",".."
"Thompson-Okanagan, British Columbia","4,614","1,998","708",".."
"Kootenay, British Columbia","1,252","526","167",".."
"Cariboo, British Columbia","1,487","294","100",".."
"North Coast, British Columbia","587","114","41",".."
"Nechako, British Columbia","429","54","24",".."
"Northeast, British Columbia","958","103","31",".."
"Yukon","443","33","30",".."
"Yukon, Yukon","443","33","30",".."
"Northwest Territories","471","86","14",".."
"Northwest Territories, Northwest Territories","471","86","14",".."
"Nunavut","759","0","0",".."
"Nunavut, Nunavut","759","0","0",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"An economic region (ER) is a grouping of complete census divisions (CDs), with one exception in Ontario, created as a standard geographic unit for analysis of regional economic activity. Within the province of Quebec, economic regions (régions administratives) are designated by law. In all other provinces and territories, economic regions (ERs) are created by agreement between Statistics Canada and the province/territory concerned. Prince Edward Island and the three territories each consist of one ER. In Ontario, there is one exception where the ER boundary does not respect census division boundaries: the census division of Halton is split between the ER of Hamilton–Niagara Peninsula and the ER of Toronto (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"The population growth, which is used to calculate population estimates of economics regions (table 17100150), is comprised of the components of population growth (table 17100151)."
4,"This table replaces table 17100138."
5,"Period from July 1 to June 30."
6,"Age on July 1."
7,"The estimates for births are final up to 2020/2021, updated for 2021/2022 to 2023/2024, and preliminary for 2024/2025. Preliminary and updated estimates of births were produced by the Centre for Demography at Statistics Canada (see definitions, data sources and methods, record numbers <a href="http://www.statcan.gc.ca/imdb-bmdi/3601-eng.htm" rel="external noopener noreferrer" target="_blank">3601 (opens new window)</a> and <a href="http://www.statcan.gc.ca/imdb-bmdi/3608-eng.htm" rel="external noopener noreferrer" target="_blank">3608 (opens new window)</a>), with the exception of Quebec's data, which are taken from the estimates of "l'Institut de la statistique du Québec" (ISQ) and then adjusted to Statistics Canada's provincial estimates. Final data were produced by the Centre for Population Health Data at Statistics Canada (see definitions, data sources and methods, record number <a href="http://www.statcan.gc.ca/imdb-bmdi/3231-eng.htm" rel="external noopener noreferrer" target="_blank">3231 (opens new window)</a>). However, before 2011, the final estimates included in this table may differ from the data released by the Centre for Population Health Data, due to the imputation of certain unknown values (province, territory or gender)."
8,"The estimates for emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
9,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
10,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
11,"The estimates for returning emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
12,"The estimates for net temporary emigration are final up to 2015/2016."



"How to cite: Statistics Canada. Table 17-10-0151-01  Components of population change by economic region, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015101
