"Job vacancies, payroll employees, and job vacancy rate, by economic regions, quarterly, adjusted for seasonality c 1 2"
"Frequency: Quarterly"
"Table: 14-10-0398-01"
"Release date: 2025-12-16"
"Geography: Canada, Province or territory, Economic region"
""
""

"Statistics","Job vacancies 3",,,,
"Geography 4","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
,"Number",,,,
"Canada","548,400A","544,630A","524,755A","506,490A","492,475A"
"Newfoundland and Labrador","5,490B","5,645A","5,360B","4,675B","4,745B"
"Avalon Peninsula, Newfoundland and Labrador","3,525C","3,350C","3,105B","2,890B","2,800B"
"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador 5","955D","875D","985C","695C","945E"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","1,010C","1,420C","1,275C","1,095C","1,000C"
"Prince Edward Island","2,440B","2,700B","2,405B","2,050B","2,435B"
"Prince Edward Island","2,440B","2,700B","2,405B","2,050B","2,435B"
"Nova Scotia","14,430A","14,555A","14,290A","14,470A","15,215A"
"Cape Breton, Nova Scotia","2,855D","2,065D","2,095D","1,960C","1,840C"
"North Shore, Nova Scotia","2,045C","2,215C","2,255C","2,315B","2,175B"
"Annapolis Valley, Nova Scotia","1,380C","1,400C","1,410C","1,575B","1,640C"
"Southern, Nova Scotia","1,675C","1,820C","1,560C","1,550C","1,675C"
"Halifax, Nova Scotia","6,480B","7,060B","6,970B","7,065B","7,880B"
"New Brunswick","9,580A","9,465A","8,945A","9,010A","10,135A"
"Campbellton-Miramichi, New Brunswick","1,785C","1,930C","1,610C","1,475C","1,890C"
"Moncton-Richibucto, New Brunswick","3,165B","3,015B","2,880B","2,850B","3,075B"
"Saint John-St. Stephen, New Brunswick","1,805B","1,800C","2,005C","2,165B","2,280B"
"Fredericton-Oromocto, New Brunswick","1,865B","1,775B","1,665B","1,615B","1,730B"
"Edmundston-Woodstock, New Brunswick","960C","945C","785D","905C","1,165C"
"Quebec","124,285A","129,650A","120,700A","113,585A","111,575A"
"Gaspésie-Îles-de-la-Madeleine, Quebec","1,080C","1,050C","1,085C","890C","830C"
"Bas-Saint-Laurent, Quebec","2,395B","2,325B","2,215B","1,885B","2,270B"
"Capitale-Nationale, Quebec","11,640B","12,345B","11,450B","11,130B","9,955B"
"Chaudière-Appalaches, Quebec","5,705B","5,295B","5,795B","5,880B","5,455B"
"Estrie, Quebec","8,200B","8,685B","7,325B","6,505B","6,240B"
"Centre-du-Québec, Quebec","3,615B","3,545B","3,725B","3,780B","3,910B"
"Montérégie, Quebec","19,100A","19,385A","18,430A","18,355A","18,050A"
"Montréal, Quebec","36,010A","36,605A","33,595A","32,995A","34,435A"
"Laval, Quebec","4,365C","4,390C","6,380B","4,795B","4,200B"
"Lanaudière, Quebec","6,375B","6,740B","6,390B","5,050B","5,230B"
"Laurentides, Quebec","7,505B","11,025B","7,010B","6,265B","5,570B"
"Outaouais, Quebec","3,780C","3,740C","3,330C","3,105B","2,415B"
"Abitibi-Témiscamingue, Quebec","3,755B","3,525B","3,800B","3,140B","3,335B"
"Mauricie, Quebec","4,135B","4,120B","3,980B","4,090B","4,470B"
"Saguenay-Lac-Saint-Jean, Quebec","3,510B","3,460C","2,995B","2,865B","2,700B"
"Côte-Nord and Nord-du-Québec, Quebec 5","3,120C","3,420C","3,190C","2,850B","2,505C"
"Ontario","184,625A","183,145A","186,000A","179,600A","171,810A"
"Ottawa, Ontario","18,045B","16,500A","18,445B","17,440A","15,550A"
"Kingston-Pembroke, Ontario","6,000B","5,445B","6,935B","4,775B","4,580B"
