"Components of population change by economic region, 2021 boundaries 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0151-01"
"Release date: 2026-01-14"
"Geography: Canada, Province or territory, Economic region"
""
""

"Components of population growth","Emigrants 7 8 9","Returning emigrants 8 9 10","Net temporary emigration 8 9 11","Net interprovincial migration 12"
"Gender","Total - gender","Total - gender","Total - gender","Total - gender"
"Age group 6","All ages","All ages","All ages","All ages"
"Geography","2024 / 2025","2024 / 2025","2024 / 2025","2024 / 2025"
,"Persons",,,
"Canada","120,016","54,644","..","0"
"Newfoundland and Labrador","266","125","..","65"
"Avalon Peninsula, Newfoundland and Labrador","212","103","..","-483"
"South Coast-Burin Peninsula, Newfoundland and Labrador","1","0","..","45"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","26","13","..","114"
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","27","9","..","389"
"Prince Edward Island","257","130","..","1,043"
"Prince Edward Island, Prince Edward Island","257","130","..","1,043"
"Nova Scotia","1,905","657","..","3,226"
"Cape Breton, Nova Scotia","53","22","..","68"
"North Shore, Nova Scotia","181","41","..","867"
"Annapolis Valley, Nova Scotia","285","74","..","661"
"Southern, Nova Scotia","187","49","..","650"
"Halifax, Nova Scotia","1,199","471","..","980"
"New Brunswick","912","347","..","-186"
"Campbellton-Miramichi, New Brunswick","36","14","..","73"
"Moncton-Richibucto, New Brunswick","271","119","..","-249"
"Saint John-St. Stephen, New Brunswick","174","58","..","234"
"Fredericton-Oromocto, New Brunswick","312","137","..","-195"
"Edmundston-Woodstock, New Brunswick","119","19","..","-49"
"Quebec","15,828","7,616","..","-5,095"
"Gaspésie-Îles-de-la-Madeleine, Quebec","24","16","..","19"
"Bas-Saint-Laurent, Quebec","101","34","..","40"
"Capitale-Nationale, Quebec","933","482","..","374"
"Chaudière-Appalaches, Quebec","220","128","..","117"
"Estrie, Quebec","328","195","..","-26"
"Centre-du-Québec, Quebec","124","59","..","6"
"Montérégie, Quebec","2,476","1,111","..","-595"
"Montréal, Quebec","8,874","4,221","..","-5,373"
"Laval, Quebec","738","468","..","-38"
"Lanaudière, Quebec","330","164","..","-41"
"Laurentides, Quebec","818","304","..","62"
"Outaouais, Quebec","512","295","..","119"
"Abitibi-Témiscamingue, Quebec","19","10","..","39"
"Mauricie, Quebec","219","85","..","113"
"Saguenay-Lac-Saint-Jean, Quebec","68","31","..","85"
"Côte-Nord, Quebec","39","9","..","3"
"Nord-du-Québec, Quebec","5","4","..","1"
"Ontario","55,979","24,973","..","-17,779"
"Ottawa, Ontario","5,808","2,874","..","4,069"
"Kingston-Pembroke, Ontario","1,358","583","..","34"
"Muskoka-Kawarthas, Ontario","675","315","..","-697"
"Toronto, Ontario","31,757","14,266","..","-13,703"
"Kitchener-Waterloo-Barrie, Ontario","5,068","1,858","..","-3,989"
"Hamilton-Niagara Peninsula, Ontario","4,674","2,092","..","-1,638"
"London, Ontario","2,133","1,065","..","-891"
"Windsor-Sarnia, Ontario","2,910","1,086","..","-336"
"Stratford-Bruce Peninsula, Ontario","496","348","..","-230"
"Northeast, Ontario","727","325","..","-391"
"Northwest, Ontario","373","161","..","-7"
"Manitoba","3,095","1,626","..","-4,047"
"Southeast, Manitoba","282","214","..","-37"
"South Central, Manitoba","163","151","..","-30"
"Southwest, Manitoba","204","102","..","-490"
"North Central, Manitoba","174","47","..","49"
"Winnipeg, Manitoba","1,961","985","..","-3,628"
"Interlake, Manitoba","113","46","..","38"
"Parklands, Manitoba","48","43","..","87"
"North, Manitoba","150","38","..","-36"
"Saskatchewan","2,022","1,254","..","-2,506"
"Regina-Moose Mountain, Saskatchewan","527","340","..","-1,473"
"Swift Current-Moose Jaw, Saskatchewan","205","88","..","49"
"Saskatoon-Biggar, Saskatchewan","1,020","663","..","-1,643"
"Yorkton-Melville, Saskatchewan","86","47","..","214"
"Prince Albert, Saskatchewan","179","110","..","357"
"Northern, Saskatchewan","5","6","..","-10"
"Alberta","14,610","8,095","..","28,138"
"Lethbridge-Medicine Hat, Alberta","851","505","..","1,394"
"Camrose-Drumheller, Alberta","500","240","..","784"
"Calgary, Alberta","8,126","4,538","..","11,124"
"Banff-Jasper-Rocky Mountain House, Alberta","337","150","..","223"
"Red Deer, Alberta","369","215","..","1,310"
"Edmonton, Alberta","3,732","2,018","..","11,869"
"Athabasca-Grande Prairie-Peace River, Alberta","359","311","..","1,337"
"Wood Buffalo-Cold Lake, Alberta","336","118","..","97"
"British Columbia","25,023","9,777","..","-2,392"
"Vancouver Island and Coast, British Columbia","2,646","1,159","..","2,398"
"Lower Mainland-Southwest, British Columbia","19,288","7,547","..","-5,531"
"Thompson-Okanagan, British Columbia","1,998","708","..","442"
"Kootenay, British Columbia","526","167","..","613"
"Cariboo, British Columbia","294","100","..","-168"
"North Coast, British Columbia","114","41","..","146"
"Nechako, British Columbia","54","24","..","-64"
"Northeast, British Columbia","103","31","..","-228"
"Yukon","33","30","..","-221"
"Yukon, Yukon","33","30","..","-221"
"Northwest Territories","86","14","..","-10"
"Northwest Territories, Northwest Territories","86","14","..","-10"
"Nunavut","0","0","..","-236"
"Nunavut, Nunavut","0","0","..","-236"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"An economic region (ER) is a grouping of complete census divisions (CDs), with one exception in Ontario, created as a standard geographic unit for analysis of regional economic activity. Within the province of Quebec, economic regions (régions administratives) are designated by law. In all other provinces and territories, economic regions (ERs) are created by agreement between Statistics Canada and the province/territory concerned. Prince Edward Island and the three territories each consist of one ER. In Ontario, there is one exception where the ER boundary does not respect census division boundaries: the census division of Halton is split between the ER of Hamilton–Niagara Peninsula and the ER of Toronto (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"The population growth, which is used to calculate population estimates of economics regions (table 17100150), is comprised of the components of population growth (table 17100151)."
4,"This table replaces table 17100138."
5,"Period from July 1 to June 30."
6,"Age on July 1."
7,"The estimates for emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
8,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
9,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
10,"The estimates for returning emigrants are final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
11,"The estimates for net temporary emigration are final up to 2015/2016."
12,"The estimates for net interprovincial migration are final up to 2023/2024 and preliminary for 2024/2025."



"How to cite: Statistics Canada. Table 17-10-0151-01  Components of population change by economic region, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015101
