"Population estimates, July 1, by economic region, 2021 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0150-01"
"Release date: 2026-01-14"
"Geography: Canada, Province or territory, Economic region"
""
""

"Gender","Total - gender"
"Age group 7","All ages"
"Geography","2025"
,"Persons"
"Canada","41,651,653"
"Newfoundland and Labrador","549,911"
"Avalon Peninsula, Newfoundland and Labrador","304,464"
"South Coast-Burin Peninsula, Newfoundland and Labrador","32,400"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","105,862"
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","107,185"
"Prince Edward Island","182,657"
"Prince Edward Island, Prince Edward Island","182,657"
"Nova Scotia","1,093,245"
"Cape Breton, Nova Scotia","147,946"
"North Shore, Nova Scotia","165,526"
"Annapolis Valley, Nova Scotia","140,741"
"Southern, Nova Scotia","121,917"
"Halifax, Nova Scotia","517,115"
"New Brunswick","869,682"
"Campbellton-Miramichi, New Brunswick","161,758"
"Moncton-Richibucto, New Brunswick","271,885"
"Saint John-St. Stephen, New Brunswick","190,849"
"Fredericton-Oromocto, New Brunswick","162,910"
"Edmundston-Woodstock, New Brunswick","82,280"
"Quebec","9,058,297"
"Gaspésie-Îles-de-la-Madeleine, Quebec","92,084"
"Bas-Saint-Laurent, Quebec","204,755"
"Capitale-Nationale, Quebec","814,004"
"Chaudière-Appalaches, Quebec","458,369"
"Estrie, Quebec","359,469"
"Centre-du-Québec, Quebec","264,820"
"Montérégie, Quebec","1,691,032"
"Montréal, Quebec","2,172,259"
"Laval, Quebec","461,509"
"Lanaudière, Quebec","569,335"
"Laurentides, Quebec","679,190"
"Outaouais, Quebec","428,751"
"Abitibi-Témiscamingue, Quebec","149,441"
"Mauricie, Quebec","289,722"
"Saguenay-Lac-Saint-Jean, Quebec","286,395"
"Côte-Nord, Quebec","89,621"
"Nord-du-Québec, Quebec","47,541"
"Ontario","16,258,260"
"Ottawa, Ontario","1,622,007"
"Kingston-Pembroke, Ontario","534,785"
"Muskoka-Kawarthas, Ontario","449,416"
"Toronto, Ontario","7,471,275"
"Kitchener-Waterloo-Barrie, Ontario","1,664,214"
"Hamilton-Niagara Peninsula, Ontario","1,710,532"
"London, Ontario","830,922"
"Windsor-Sarnia, Ontario","745,975"
"Stratford-Bruce Peninsula, Ontario","352,592"
"Northeast, Ontario","624,671"
"Northwest, Ontario","251,871"
"Manitoba","1,509,702"
"Southeast, Manitoba","145,963"
"South Central, Manitoba","75,878"
"Southwest, Manitoba","129,480"
"North Central, Manitoba","56,389"
"Winnipeg, Manitoba","855,628"
"Interlake, Manitoba","107,575"
"Parklands, Manitoba","42,376"
"North, Manitoba","96,413"
"Saskatchewan","1,266,959"
"Regina-Moose Mountain, Saskatchewan","374,889"
"Swift Current-Moose Jaw, Saskatchewan","107,592"
"Saskatoon-Biggar, Saskatchewan","433,537"
"Yorkton-Melville, Saskatchewan","87,543"
"Prince Albert, Saskatchewan","224,873"
"Northern, Saskatchewan","38,525"
"Alberta","5,029,346"
"Lethbridge-Medicine Hat, Alberta","334,824"
"Camrose-Drumheller, Alberta","215,996"
"Calgary, Alberta","1,954,845"
"Banff-Jasper-Rocky Mountain House, Alberta","98,744"
"Red Deer, Alberta","239,566"
"Edmonton, Alberta","1,737,604"
"Athabasca-Grande Prairie-Peace River, Alberta","286,754"
"Wood Buffalo-Cold Lake, Alberta","161,013"
"British Columbia","5,697,536"
"Vancouver Island and Coast, British Columbia","954,177"
"Lower Mainland-Southwest, British Columbia","3,547,412"
"Thompson-Okanagan, British Columbia","669,958"
"Kootenay, British Columbia","176,982"
"Cariboo, British Columbia","174,641"
"North Coast, British Columbia","61,556"
"Nechako, British Columbia","40,256"
"Northeast, British Columbia","72,554"
"Yukon","48,278"
"Yukon, Yukon","48,278"
"Northwest Territories","45,950"
"Northwest Territories, Northwest Territories","45,950"
"Nunavut","41,830"
"Nunavut, Nunavut","41,830"




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"An economic region (ER) is a grouping of complete census divisions (CDs), with one exception in Ontario, created as a standard geographic unit for analysis of regional economic activity. Within the province of Quebec, economic regions (régions administratives) are designated by law. In all other provinces and territories, economic regions (ERs) are created by agreement between Statistics Canada and the province/territory concerned. Prince Edward Island and the three territories each consist of one ER. In Ontario, there is one exception where the ER boundary does not respect census division boundaries: the census division of Halton is split between the ER of Hamilton–Niagara Peninsula and the ER of Toronto (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration."
4,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025."
5,"The population growth, which is used to calculate population estimates of economics regions (table 17100150), is comprised of the components of population growth (table 17100151)."
6,"This table replaces table 17100137."
7,"Age on July 1."



"How to cite: Statistics Canada. Table 17-10-0150-01  Population estimates, July 1, by economic region, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015001
